Time,Number of Tweets,Sentiment
2020-05-27 04:16:43,12,1
2020-05-27 04:18:43,6,0
2020-05-27 04:18:43,41,2
2020-05-27 04:18:43,12,1
2020-05-27 04:20:45,12,0
2020-05-27 04:20:45,35,2
2020-05-27 04:20:45,13,1
2020-05-27 04:22:47,9,0
2020-05-27 04:22:47,32,2
2020-05-27 04:22:47,16,1
2020-05-27 04:24:57,14,0
2020-05-27 04:24:57,33,2
2020-05-27 04:24:57,14,1
2020-05-27 04:26:57,11,0
2020-05-27 04:26:57,47,2
2020-05-27 04:26:57,7,1
2020-05-27 04:29:01,11,0
2020-05-27 04:29:01,53,2
2020-05-27 04:29:01,7,1
2020-05-27 04:31:02,13,0
2020-05-27 04:31:02,49,2
2020-05-27 04:31:02,7,1
2020-05-27 04:33:03,10,0
2020-05-27 04:33:03,39,2
2020-05-27 04:33:03,8,1
2020-05-27 04:35:04,7,0
2020-05-27 04:35:04,41,2
2020-05-27 04:35:04,12,1
2020-05-27 04:37:05,9,0
2020-05-27 04:37:05,29,2
2020-05-27 04:37:05,10,1
2020-05-27 04:39:05,13,0
2020-05-27 04:39:05,31,2
2020-05-27 04:39:05,6,1
2020-05-27 04:41:05,5,0
2020-05-27 04:41:05,32,2
2020-05-27 04:41:05,6,1
2020-05-27 04:43:08,7,0
2020-05-27 04:43:08,37,2
2020-05-27 04:43:08,11,1
2020-05-27 04:45:09,9,0
2020-05-27 04:45:09,39,2
2020-05-27 04:45:09,7,1
2020-05-27 04:47:10,6,0
2020-05-27 04:47:10,38,2
2020-05-27 04:47:10,15,1
2020-05-27 04:49:10,5,0
2020-05-27 04:49:10,29,2
2020-05-27 04:49:10,12,1
2020-05-27 04:51:14,11,0
2020-05-27 04:51:14,40,2
2020-05-27 04:51:14,8,1
2020-05-27 04:53:16,11,0
2020-05-27 04:53:16,40,2
2020-05-27 04:53:16,9,1
2020-05-27 04:55:19,16,0
2020-05-27 04:55:19,39,2
2020-05-27 04:55:19,12,1
2020-05-27 04:57:20,15,0
2020-05-27 04:57:20,46,2
2020-05-27 04:57:20,13,1
2020-05-27 04:59:20,7,0
2020-05-27 04:59:20,38,2
2020-05-27 04:59:20,4,1
